GVKEY,LPERMNO,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,conm,curcd,costat,sic
2019,49656,20091231,2009,INDL,C,D,STD,BK,BANK OF NEW YORK MELLON CORP,USD,A,6020
2019,49656,20101231,2010,INDL,C,D,STD,BK,BANK OF NEW YORK MELLON CORP,USD,A,6020
2019,49656,20111231,2011,INDL,C,D,STD,BK,BANK OF NEW YORK MELLON CORP,USD,A,6020
2019,49656,20121231,2012,INDL,C,D,STD,BK,BANK OF NEW YORK MELLON CORP,USD,A,6020
2019,49656,20131231,2013,INDL,C,D,STD,BK,BANK OF NEW YORK MELLON CORP,USD,A,6020
2019,49656,20141231,2014,INDL,C,D,STD,BK,BANK OF NEW YORK MELLON CORP,USD,A,6020
2019,49656,20151231,2015,INDL,C,D,STD,BK,BANK OF NEW YORK MELLON CORP,USD,A,6020
2019,49656,20161231,2016,INDL,C,D,STD,BK,BANK OF NEW YORK MELLON CORP,USD,A,6020
2019,49656,20171231,2017,INDL,C,D,STD,BK,BANK OF NEW YORK MELLON CORP,USD,A,6020
2968,47896,20091231,2009,INDL,C,D,STD,JPM,JPMORGAN CHASE & CO,USD,A,6020
2968,47896,20101231,2010,INDL,C,D,STD,JPM,JPMORGAN CHASE & CO,USD,A,6020
2968,47896,20111231,2011,INDL,C,D,STD,JPM,JPMORGAN CHASE & CO,USD,A,6020
2968,47896,20121231,2012,INDL,C,D,STD,JPM,JPMORGAN CHASE & CO,USD,A,6020
2968,47896,20131231,2013,INDL,C,D,STD,JPM,JPMORGAN CHASE & CO,USD,A,6020
2968,47896,20141231,2014,INDL,C,D,STD,JPM,JPMORGAN CHASE & CO,USD,A,6020
2968,47896,20151231,2015,INDL,C,D,STD,JPM,JPMORGAN CHASE & CO,USD,A,6020
2968,47896,20161231,2016,INDL,C,D,STD,JPM,JPMORGAN CHASE & CO,USD,A,6020
2968,47896,20171231,2017,INDL,C,D,STD,JPM,JPMORGAN CHASE & CO,USD,A,6020
3231,25081,20091231,2009,INDL,C,D,STD,CMA,COMERICA INC,USD,A,6020
3231,25081,20101231,2010,INDL,C,D,STD,CMA,COMERICA INC,USD,A,6020
3231,25081,20111231,2011,INDL,C,D,STD,CMA,COMERICA INC,USD,A,6020
3231,25081,20121231,2012,INDL,C,D,STD,CMA,COMERICA INC,USD,A,6020
3231,25081,20131231,2013,INDL,C,D,STD,CMA,COMERICA INC,USD,A,6020
3231,25081,20141231,2014,INDL,C,D,STD,CMA,COMERICA INC,USD,A,6020
3231,25081,20151231,2015,INDL,C,D,STD,CMA,COMERICA INC,USD,A,6020
3231,25081,20161231,2016,INDL,C,D,STD,CMA,COMERICA INC,USD,A,6020
3231,25081,20171231,2017,INDL,C,D,STD,CMA,COMERICA INC,USD,A,6020
3243,70519,20091231,2009,INDL,C,D,STD,C,CITIGROUP INC,USD,A,6199
3243,70519,20101231,2010,INDL,C,D,STD,C,CITIGROUP INC,USD,A,6199
3243,70519,20111231,2011,INDL,C,D,STD,C,CITIGROUP INC,USD,A,6199
3243,70519,20121231,2012,INDL,C,D,STD,C,CITIGROUP INC,USD,A,6199
3243,70519,20131231,2013,INDL,C,D,STD,C,CITIGROUP INC,USD,A,6199
3243,70519,20141231,2014,INDL,C,D,STD,C,CITIGROUP INC,USD,A,6199
3243,70519,20151231,2015,INDL,C,D,STD,C,CITIGROUP INC,USD,A,6199
3243,70519,20161231,2016,INDL,C,D,STD,C,CITIGROUP INC,USD,A,6199
3243,70519,20171231,2017,INDL,C,D,STD,C,CITIGROUP INC,USD,A,6199
4640,34746,20091231,2009,INDL,C,D,STD,FITB,FIFTH THIRD BANCORP,USD,A,6020
4640,34746,20101231,2010,INDL,C,D,STD,FITB,FIFTH THIRD BANCORP,USD,A,6020
4640,34746,20111231,2011,INDL,C,D,STD,FITB,FIFTH THIRD BANCORP,USD,A,6020
4640,34746,20121231,2012,INDL,C,D,STD,FITB,FIFTH THIRD BANCORP,USD,A,6020
4640,34746,20131231,2013,INDL,C,D,STD,FITB,FIFTH THIRD BANCORP,USD,A,6020
4640,34746,20141231,2014,INDL,C,D,STD,FITB,FIFTH THIRD BANCORP,USD,A,6020
4640,34746,20151231,2015,INDL,C,D,STD,FITB,FIFTH THIRD BANCORP,USD,A,6020
4640,34746,20161231,2016,INDL,C,D,STD,FITB,FIFTH THIRD BANCORP,USD,A,6020
4640,34746,20171231,2017,INDL,C,D,STD,FITB,FIFTH THIRD BANCORP,USD,A,6020
4674,35044,20091231,2009,INDL,C,D,STD,RF,REGIONS FINANCIAL CORP,USD,A,6020
4674,35044,20101231,2010,INDL,C,D,STD,RF,REGIONS FINANCIAL CORP,USD,A,6020
4674,35044,20111231,2011,INDL,C,D,STD,RF,REGIONS FINANCIAL CORP,USD,A,6020
4674,35044,20121231,2012,INDL,C,D,STD,RF,REGIONS FINANCIAL CORP,USD,A,6020
4674,35044,20131231,2013,INDL,C,D,STD,RF,REGIONS FINANCIAL CORP,USD,A,6020
4674,35044,20141231,2014,INDL,C,D,STD,RF,REGIONS FINANCIAL CORP,USD,A,6020
4674,35044,20151231,2015,INDL,C,D,STD,RF,REGIONS FINANCIAL CORP,USD,A,6020
4674,35044,20161231,2016,INDL,C,D,STD,RF,REGIONS FINANCIAL CORP,USD,A,6020
4674,35044,20171231,2017,INDL,C,D,STD,RF,REGIONS FINANCIAL CORP,USD,A,6020
4699,35554,20091231,2009,INDL,C,D,STD,MTB,M & T BANK CORP,USD,A,6020
4699,35554,20101231,2010,INDL,C,D,STD,MTB,M & T BANK CORP,USD,A,6020
4699,35554,20111231,2011,INDL,C,D,STD,MTB,M & T BANK CORP,USD,A,6020
4699,35554,20121231,2012,INDL,C,D,STD,MTB,M & T BANK CORP,USD,A,6020
4699,35554,20131231,2013,INDL,C,D,STD,MTB,M & T BANK CORP,USD,A,6020
4699,35554,20141231,2014,INDL,C,D,STD,MTB,M & T BANK CORP,USD,A,6020
4699,35554,20151231,2015,INDL,C,D,STD,MTB,M & T BANK CORP,USD,A,6020
4699,35554,20161231,2016,INDL,C,D,STD,MTB,M & T BANK CORP,USD,A,6020
4699,35554,20171231,2017,INDL,C,D,STD,MTB,M & T BANK CORP,USD,A,6020
4723,66157,20091231,2009,INDL,C,D,STD,USB,U S BANCORP,USD,A,6020
4723,66157,20101231,2010,INDL,C,D,STD,USB,U S BANCORP,USD,A,6020
4723,66157,20111231,2011,INDL,C,D,STD,USB,U S BANCORP,USD,A,6020
4723,66157,20121231,2012,INDL,C,D,STD,USB,U S BANCORP,USD,A,6020
4723,66157,20131231,2013,INDL,C,D,STD,USB,U S BANCORP,USD,A,6020
4723,66157,20141231,2014,INDL,C,D,STD,USB,U S BANCORP,USD,A,6020
4723,66157,20151231,2015,INDL,C,D,STD,USB,U S BANCORP,USD,A,6020
4723,66157,20161231,2016,INDL,C,D,STD,USB,U S BANCORP,USD,A,6020
4723,66157,20171231,2017,INDL,C,D,STD,USB,U S BANCORP,USD,A,6020
4737,36397,20091231,2009,INDL,C,D,STD,FHN,FIRST HORIZON NATIONAL CORP,USD,A,6020
4737,36397,20101231,2010,INDL,C,D,STD,FHN,FIRST HORIZON NATIONAL CORP,USD,A,6020
4737,36397,20111231,2011,INDL,C,D,STD,FHN,FIRST HORIZON NATIONAL CORP,USD,A,6020
4737,36397,20121231,2012,INDL,C,D,STD,FHN,FIRST HORIZON NATIONAL CORP,USD,A,6020
4737,36397,20131231,2013,INDL,C,D,STD,FHN,FIRST HORIZON NATIONAL CORP,USD,A,6020
4737,36397,20141231,2014,INDL,C,D,STD,FHN,FIRST HORIZON NATIONAL CORP,USD,A,6020
4737,36397,20151231,2015,INDL,C,D,STD,FHN,FIRST HORIZON NATIONAL CORP,USD,A,6020
4737,36397,20161231,2016,INDL,C,D,STD,FHN,FIRST HORIZON NATIONAL CORP,USD,A,6020
4737,36397,20171231,2017,INDL,C,D,STD,FHN,FIRST HORIZON NATIONAL CORP,USD,A,6020
5786,42906,20091231,2009,INDL,C,D,STD,HBAN,HUNTINGTON BANCSHARES,USD,A,6020
5786,42906,20101231,2010,INDL,C,D,STD,HBAN,HUNTINGTON BANCSHARES,USD,A,6020
5786,42906,20111231,2011,INDL,C,D,STD,HBAN,HUNTINGTON BANCSHARES,USD,A,6020
5786,42906,20121231,2012,INDL,C,D,STD,HBAN,HUNTINGTON BANCSHARES,USD,A,6020
5786,42906,20131231,2013,INDL,C,D,STD,HBAN,HUNTINGTON BANCSHARES,USD,A,6020
5786,42906,20141231,2014,INDL,C,D,STD,HBAN,HUNTINGTON BANCSHARES,USD,A,6020
5786,42906,20151231,2015,INDL,C,D,STD,HBAN,HUNTINGTON BANCSHARES,USD,A,6020
5786,42906,20161231,2016,INDL,C,D,STD,HBAN,HUNTINGTON BANCSHARES,USD,A,6020
5786,42906,20171231,2017,INDL,C,D,STD,HBAN,HUNTINGTON BANCSHARES,USD,A,6020
7647,59408,20091231,2009,INDL,C,D,STD,BAC,BANK OF AMERICA CORP,USD,A,6020
7647,59408,20101231,2010,INDL,C,D,STD,BAC,BANK OF AMERICA CORP,USD,A,6020
7647,59408,20111231,2011,INDL,C,D,STD,BAC,BANK OF AMERICA CORP,USD,A,6020
7647,59408,20121231,2012,INDL,C,D,STD,BAC,BANK OF AMERICA CORP,USD,A,6020
7647,59408,20131231,2013,INDL,C,D,STD,BAC,BANK OF AMERICA CORP,USD,A,6020
7647,59408,20141231,2014,INDL,C,D,STD,BAC,BANK OF AMERICA CORP,USD,A,6020
7647,59408,20151231,2015,INDL,C,D,STD,BAC,BANK OF AMERICA CORP,USD,A,6020
7647,59408,20161231,2016,INDL,C,D,STD,BAC,BANK OF AMERICA CORP,USD,A,6020
7647,59408,20171231,2017,INDL,C,D,STD,BAC,BANK OF AMERICA CORP,USD,A,6020
7982,58246,20091231,2009,INDL,C,D,STD,NTRS,NORTHERN TRUST CORP,USD,A,6020
7982,58246,20101231,2010,INDL,C,D,STD,NTRS,NORTHERN TRUST CORP,USD,A,6020
7982,58246,20111231,2011,INDL,C,D,STD,NTRS,NORTHERN TRUST CORP,USD,A,6020
7982,58246,20121231,2012,INDL,C,D,STD,NTRS,NORTHERN TRUST CORP,USD,A,6020
7982,58246,20131231,2013,INDL,C,D,STD,NTRS,NORTHERN TRUST CORP,USD,A,6020
7982,58246,20141231,2014,INDL,C,D,STD,NTRS,NORTHERN TRUST CORP,USD,A,6020
7982,58246,20151231,2015,INDL,C,D,STD,NTRS,NORTHERN TRUST CORP,USD,A,6020
7982,58246,20161231,2016,INDL,C,D,STD,NTRS,NORTHERN TRUST CORP,USD,A,6020
7982,58246,20171231,2017,INDL,C,D,STD,NTRS,NORTHERN TRUST CORP,USD,A,6020
8007,38703,20091231,2009,INDL,C,D,STD,WFC,WELLS FARGO & CO,USD,A,6020
8007,38703,20101231,2010,INDL,C,D,STD,WFC,WELLS FARGO & CO,USD,A,6020
8007,38703,20111231,2011,INDL,C,D,STD,WFC,WELLS FARGO & CO,USD,A,6020
8007,38703,20121231,2012,INDL,C,D,STD,WFC,WELLS FARGO & CO,USD,A,6020
8007,38703,20131231,2013,INDL,C,D,STD,WFC,WELLS FARGO & CO,USD,A,6020
8007,38703,20141231,2014,INDL,C,D,STD,WFC,WELLS FARGO & CO,USD,A,6020
8007,38703,20151231,2015,INDL,C,D,STD,WFC,WELLS FARGO & CO,USD,A,6020
8007,38703,20161231,2016,INDL,C,D,STD,WFC,WELLS FARGO & CO,USD,A,6020
8007,38703,20171231,2017,INDL,C,D,STD,WFC,WELLS FARGO & CO,USD,A,6020
8245,60442,20091231,2009,INDL,C,D,STD,PNC,PNC FINANCIAL SVCS GROUP INC,USD,A,6020
8245,60442,20101231,2010,INDL,C,D,STD,PNC,PNC FINANCIAL SVCS GROUP INC,USD,A,6020
8245,60442,20111231,2011,INDL,C,D,STD,PNC,PNC FINANCIAL SVCS GROUP INC,USD,A,6020
8245,60442,20121231,2012,INDL,C,D,STD,PNC,PNC FINANCIAL SVCS GROUP INC,USD,A,6020
8245,60442,20131231,2013,INDL,C,D,STD,PNC,PNC FINANCIAL SVCS GROUP INC,USD,A,6020
8245,60442,20141231,2014,INDL,C,D,STD,PNC,PNC FINANCIAL SVCS GROUP INC,USD,A,6020
8245,60442,20151231,2015,INDL,C,D,STD,PNC,PNC FINANCIAL SVCS GROUP INC,USD,A,6020
8245,60442,20161231,2016,INDL,C,D,STD,PNC,PNC FINANCIAL SVCS GROUP INC,USD,A,6020
8245,60442,20171231,2017,INDL,C,D,STD,PNC,PNC FINANCIAL SVCS GROUP INC,USD,A,6020
9783,64995,20091231,2009,INDL,C,D,STD,KEY,KEYCORP,USD,A,6020
9783,64995,20101231,2010,INDL,C,D,STD,KEY,KEYCORP,USD,A,6020
9783,64995,20111231,2011,INDL,C,D,STD,KEY,KEYCORP,USD,A,6020
9783,64995,20121231,2012,INDL,C,D,STD,KEY,KEYCORP,USD,A,6020
9783,64995,20131231,2013,INDL,C,D,STD,KEY,KEYCORP,USD,A,6020
9783,64995,20141231,2014,INDL,C,D,STD,KEY,KEYCORP,USD,A,6020
9783,64995,20151231,2015,INDL,C,D,STD,KEY,KEYCORP,USD,A,6020
9783,64995,20161231,2016,INDL,C,D,STD,KEY,KEYCORP,USD,A,6020
9783,64995,20171231,2017,INDL,C,D,STD,KEY,KEYCORP,USD,A,6020
10187,68144,20091231,2009,INDL,C,D,STD,STI,SUNTRUST BANKS INC,USD,I,6020
10187,68144,20101231,2010,INDL,C,D,STD,STI,SUNTRUST BANKS INC,USD,I,6020
10187,68144,20111231,2011,INDL,C,D,STD,STI,SUNTRUST BANKS INC,USD,I,6020
10187,68144,20121231,2012,INDL,C,D,STD,STI,SUNTRUST BANKS INC,USD,I,6020
10187,68144,20131231,2013,INDL,C,D,STD,STI,SUNTRUST BANKS INC,USD,I,6020
10187,68144,20141231,2014,INDL,C,D,STD,STI,SUNTRUST BANKS INC,USD,I,6020
10187,68144,20151231,2015,INDL,C,D,STD,STI,SUNTRUST BANKS INC,USD,I,6020
10187,68144,20161231,2016,INDL,C,D,STD,STI,SUNTRUST BANKS INC,USD,I,6020
10187,68144,20171231,2017,INDL,C,D,STD,STI,SUNTRUST BANKS INC,USD,I,6020
11687,84129,20091231,2009,INDL,C,D,STD,ZION,ZIONS BANCORPORATION NA,USD,A,6020
11687,84129,20101231,2010,INDL,C,D,STD,ZION,ZIONS BANCORPORATION NA,USD,A,6020
11687,84129,20111231,2011,INDL,C,D,STD,ZION,ZIONS BANCORPORATION NA,USD,A,6020
11687,84129,20121231,2012,INDL,C,D,STD,ZION,ZIONS BANCORPORATION NA,USD,A,6020
11687,84129,20131231,2013,INDL,C,D,STD,ZION,ZIONS BANCORPORATION NA,USD,A,6020
11687,84129,20141231,2014,INDL,C,D,STD,ZION,ZIONS BANCORPORATION NA,USD,A,6020
11687,84129,20151231,2015,INDL,C,D,STD,ZION,ZIONS BANCORPORATION NA,USD,A,6020
11687,84129,20161231,2016,INDL,C,D,STD,ZION,ZIONS BANCORPORATION NA,USD,A,6020
11687,84129,20171231,2017,INDL,C,D,STD,ZION,ZIONS BANCORPORATION NA,USD,A,6020
11856,71563,20091231,2009,INDL,C,D,STD,TFC,TRUIST FINANCIAL CORP,USD,A,6020
11856,71563,20101231,2010,INDL,C,D,STD,TFC,TRUIST FINANCIAL CORP,USD,A,6020
11856,71563,20111231,2011,INDL,C,D,STD,TFC,TRUIST FINANCIAL CORP,USD,A,6020
11856,71563,20121231,2012,INDL,C,D,STD,TFC,TRUIST FINANCIAL CORP,USD,A,6020
11856,71563,20131231,2013,INDL,C,D,STD,TFC,TRUIST FINANCIAL CORP,USD,A,6020
11856,71563,20141231,2014,INDL,C,D,STD,TFC,TRUIST FINANCIAL CORP,USD,A,6020
11856,71563,20151231,2015,INDL,C,D,STD,TFC,TRUIST FINANCIAL CORP,USD,A,6020
