security_ticker,market_ticker,event_date
BK,SPY,03/13/2012
BK,SPY,03/14/2013
BK,SPY,03/26/2014
BK,SPY,03/11/2015
BK,SPY,06/29/2016
BK,SPY,06/28/2017
JPM,SPY,03/18/2011
JPM,SPY,03/13/2012
JPM,SPY,03/17/2015
JPM,SPY,06/29/2016
JPM,SPY,06/28/2017
C,SPY,04/25/2013
C,SPY,04/23/2014
C,SPY,03/11/2015
C,SPY,06/29/2016
C,SPY,06/28/2017
FITB,SPY,08/21/2012
FITB,SPY,03/19/2013
FITB,SPY,03/18/2014
FITB,SPY,03/15/2016
RF,SPY,03/19/2013
RF,SPY,04/24/2014
RF,SPY,04/23/2015
RF,SPY,07/14/2016
RF,SPY,06/28/2017
MTB,SPY,11/18/2015
MTB,SPY,07/19/2016
MTB,SPY,07/18/2017
USB,SPY,03/02/2009
USB,SPY,02/28/2011
USB,SPY,03/18/2011
USB,SPY,03/13/2012
USB,SPY,03/14/2013
USB,SPY,03/26/2014
USB,SPY,03/11/2015
USB,SPY,06/29/2016
USB,SPY,06/28/2017
FHN,SPY,10/17/2011
FHN,SPY,07/19/2013
FHN,SPY,02/27/2014
HBAN,SPY,03/14/2012
HBAN,SPY,04/17/2013
HBAN,SPY,04/16/2014
HBAN,SPY,04/22/2015
HBAN,SPY,07/21/2017
BAC,SPY,03/14/2013
BAC,SPY,03/26/2014
BAC,SPY,03/11/2015
BAC,SPY,03/18/2016
BAC,SPY,06/29/2016
BAC,SPY,06/28/2017
NTRS,SPY,03/14/2012
NTRS,SPY,03/14/2013
NTRS,SPY,04/16/2013
NTRS,SPY,03/26/2014
NTRS,SPY,03/11/2015
NTRS,SPY,04/22/2015
NTRS,SPY,06/29/2016
NTRS,SPY,07/18/2017
WFC,SPY,03/18/2011
WFC,SPY,01/26/2016
PNC,SPY,03/11/2015
KEY,SPY,03/13/2012
KEY,SPY,03/14/2013
KEY,SPY,03/26/2014
KEY,SPY,03/11/2015
KEY,SPY,06/29/2016
KEY,SPY,06/28/2017
STI,SPY,03/14/2013
STI,SPY,04/21/2014
STI,SPY,03/11/2015
STI,SPY,06/29/2016
STI,SPY,06/28/2017
ZION,SPY,07/22/2016
ZION,SPY,06/28/2017
TFC,SPY,06/25/2015
TFC,SPY,07/27/2016
TFC,SPY,06/29/2017
PBCT,SPY,01/21/2011
PBCT,SPY,10/20/2011
PBCT,SPY,11/26/2012
