date,BAC,BK,C,FHN,FITB,HBAN,JPM,KEY,MTB,NTRS,PBCT,PNC,RF,ZION,STI,TFC,USB,WFC,SPY
2001-09-18,0.013247493,-0.032161974,-0.006565672,0.003030309,0.038878539,0.03442136,-0.011631201,0.017602685,0.019119911,0.000194937,0.041036756,0.008590425,0.024763265,0.000929354,0.020298932,0.017327464,-0.016659521,0.005976973,-0.002396932
2001-09-19,-0.001271104,-0.023076961,-0.022623269,0.027190323,0.000539741,0.01721166,-0.020952914,-0.015650785,0.017123196,-0.027290404,-0.021161801,-0.020511043,-0.007817995,-0.011142033,0.003238845,0.006928455,-0.065595143,0.007998224,-0.020182663
2001-09-20,-0.024909071,-0.031496003,-0.054356291,-0.006176506,-0.024456044,-0.041173128,-0.074758168,-0.027615057,-0.038208179,-0.0695391,-0.006358698,-0.04152618,-0.026146179,-0.008826314,-0.024596498,-0.023795923,-0.086471436,-0.025617798,-0.031780264
2001-09-21,-0.049039736,-0.004227724,0,0.007102683,-0.007557601,-0.057647032,-0.023447395,-0.02366606,-0.011415526,-0.025414609,-0.025597269,-0.029438997,-0.012504584,-0.02197802,-0.026004752,-0.014096903,-0.013740482,-0.012331289,-0.014486884
2001-09-24,0.046078401,0.100587935,0.072607243,0.014105299,0.049591348,0.065543022,0.057105845,0.022476872,0.053733728,0.077569024,0.029334508,0.054940885,0.026070802,0.004261938,0.024757324,0.032469472,0.083591378,0.016961069,0.035156232
2001-09-25,0.03280225,-0.032640982,0.001025625,0.026658919,0.017165126,0.01757476,0.020564706,0.001724095,0.028930387,0.001230545,-0.00170134,0.00361665,0.017785801,0.007716079,0.003158013,0.004616268,0.016666685,0.008802434,0.010427042
2001-09-26,-0.000907427,0.007975394,0.006916015,0.035845327,0.020702829,-0.020725423,-0.019849619,0.013339048,0.01249652,0.002867665,-0.020451638,-0.004144136,0,-0.000765714,0.012592524,0.006892639,-0.004683859,0.002755429,-0.00353809
2001-09-27,0.033242541,0.013998794,0.014245754,0.009264301,0.016362757,0.011757722,0.01626262,0.019108313,0.059607291,0.008169966,0.014789021,0.019540402,0.004636226,0.034482744,0.021762809,0.031659919,0.030117618,0.00068703,0.00867933
2001-09-28,0.026722933,0.050420152,0.015801323,-0.001079894,0.031024626,0.005810598,0.031099113,0.005833308,-0.020516254,0.063209054,-0.048435478,0.015971634,0.024494148,-0.006296299,0.01323589,0.007741294,0.013248101,0.017162471,0.021218401
2001-10-01,0.009417795,-0.030571375,0.030864198,-0.009189184,0.003578419,-0.013864805,-0.004392431,-0.014912954,-0.011756794,-0.018102149,0.027027024,0.000523996,0.012474061,-0.020685811,-0.009759783,0.001371721,-0.007213699,0.000224934,-0.001627784
2001-10-02,0.008990649,0.009136439,0.011976048,0.016093843,0.017990285,0.021675504,0.029117696,0.002943637,0.007384123,0.00834466,0.019736766,0.016061487,-0.005475705,0,0.019408741,0.012602715,0.028610316,0.003148884,0.012563587
2001-10-03,0.008574347,0.029205657,0.029112397,-0.014496649,-0.009234227,-0.018922013,-0.00914557,0.000838594,-0.014252687,0.026366489,-0.002580597,0.015635736,0.003441138,-0.055756429,-0.000743761,-0.001082276,0.002207556,0.003363263,0.016764507
2001-10-04,-0.018336427,-0.017309912,0.003219927,-0.034595476,-0.037120382,-0.017533672,-0.014710076,-0.013406016,-0.018727631,-0.025314124,0.012074201,-0.009812245,-0.021604921,-0.01027808,-0.017862414,-0.029252385,-0.033039646,-0.011173184,0.000838416
2001-10-05,-0.046867012,-0.029454235,-0.011921165,-0.026805918,-0.036214924,-0.046995778,-0.021955504,-0.036942631,-0.021049677,-0.033474372,-0.017043064,-0.041858825,-0.026638683,-0.064752602,-0.033495041,-0.031529048,-0.159908889,-0.027118661,-0.001954571
2001-10-08,-0.033493694,-0.031538252,-0.015777234,-0.050159456,-0.054891743,-0.044319602,-0.02903326,-0.054232783,-0.023795923,-0.033240484,-0.01040312,-0.012838823,-0.05149442,-0.043762293,-0.056766487,-0.047536668,-0.084598771,-0.032055775,-0.006528066
